title,release_year,genres,vote_average,overview
The Gerson Miracle,2004,Documentary,6.8,"In 1928, Dr. Max Gerson, a German-Jewish researcher, stumbled upon a therapy that has cured tens of thousands of people worldwide since then, including patients's previously thought incurable by their doctors. For the first time, this film chronicles the epic true story of Gerson's miracle.  A cure for cancer and most other chronic and degenerative diseases has been available since 1928. The therapy was developed by Max Gerson, MD, a German Jewish physician, hailed by Nobel Laureate Albert Schweitzer as, “the most brilliant medical genius ever.”  Nine Gerson patients relate stories of recovery from the most deadly cancers (liver, ovarian, pancreatic) up to nineteen years ago. Their inspiring testimonies are powerful evidence of the Therapy’s effectiveness. Charlotte Gerson also describes her lifelong efforts to keep the Therapy alive despite powerful opposition."
Simply Raw,2009,Documentary,8.8,Reversing Diabetes in 30 Days.
Taste the Waste,2011,Documentary,7.0,Documentary about how much food goes to waste in our society and why.
Super Juice Me!,2014,Documentary,7.3,"The world is facing a “pandemic” of chronic disease – heart disease, diabetes, cancer, obesity, asthma, kidney and liver disease, Alzheimer’s, autoimmune diseases, allergies and skin conditions and many, many more. This year more than 36 million people will die from degenerative conditions – more than from all other causes put together*, and that number is expected to rise to over 50 million within 15 years. At the same time, the amount spent trying to treat these diseases with pharmaceutical drugs is expected to rise by 50% to more than $1.2 trillion!  One summer Jason Vale took eight people who collectively suffered from 22 different chronic diseases and put them on his ‘Juice Only’ diet for 28 days. Could these different diseases with their many different prescribed drugs be improved and even cured by one thing? Maybe it’s time to get Super Juiced!"
Orgasm Inc.,2009,Documentary,6.5,Extraordinary behind-the-scenes access reveals a drug company's fevered race to develop the first FDA-approved Viagra for women - and offers a humorous but sobering look inside the cash-fueled pharmaceutical industry.
They Call It Myanmar: Lifting the Curtain,2012,Documentary,6.9,"Shot clandestinely over a two year period, this film provides a rare look into the second most isolated country on the planet held in a stasis by a brutal military regime for almost a half century. From over 100 interviews of people across Burma, including the recently released Aung San Suu Kyi, interwoven with stunning footage of Burmese life this documentary is truly unique."
A Little Game,2014,"Family, Adventure",6.2,"Ostracized at her posh new uptown school and shaken by the death of her beloved grandmother, a 10 year-old downtown girl finds an unlikely mentor in the form of an irascible chess-master, who uses the game to teach Max lessons in resilience, perseverance, and how to embrace inevitable change."
Paths of the Soul,2015,,7.8,"PATHS OF THE SOUL follows a group of Tibetan villagers who leave their families and homes to make a ""bowing pilgrimage"" — laying their bodies flat on the ground after every few steps — along the 2,000-kilometre road to Lhasa. Though equally devoted to the trip, they all have different reasons: one traveller needs to cleanse bad family karma; another, a butcher, wants to wash the animals' bloodstains from his soul; and another pilgrim, sensing the end is near, hopes that prayers and prostrations will break the chain of cause and effect determined by his life's actions. During their months on the road, a baby is born, they meet fellow travellers, and their resolve is put to the test by harsh snowstorms and physical fatigue. But no hardship can deter them from their ultimate goal — not even the threat of death, a very real danger in this high altitude where a common cold can take one's life."
The Perfect Wedding,2012,Comedy,7.5,"Christmas is approaching, and Paul's adopted sister Alana is coming home for the holidays. This won't be just a regular family celebration, as she's recently engaged and the weekend will be spent planning her June wedding with her best friends Roy and Vicki. Problem is that Roy is Paul's ex-boyfriend, and the two young men haven't seen each other since their very messy breakup. Nervous about seeing his ex again, Roy talks his good friend Gavin into joining him for the weekend, and pretending to be his new boyfriend. When Paul and Gavin meet, sparks of attraction fly, but Gavin thinks Roy's still hung up on Paul. This charming romantic comedy is a funny look at family bonds, misunderstandings and the ""perfect wedding"
Alice Through the Looking Glass,2016,"Family, Fantasy",6.5,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter."
Chasing Leprechauns,2013,"TV Movie, Comedy, Romance",6.0,"Before an American company can build a smelting plant outside a small Irish village, they have to send their top troubleshooter to find a way around an antiquated law that protects the leprechauns supposedly living on the property."
Valentine Ever After,2016,"Romance, TV Movie",6.9,"Big city girls Julia and her best friend Sydney take a trip to a dude ranch in Wyoming for a fun weekend getaway, but after a brawl at the local bar, the girls are sentenced to stay in town and perform community service. Along the way, Julia finds love and her true calling in life."
Bridal Wave,2015,"Comedy, Romance",6.4,"With her wedding day rapidly approaching, an anxious bride-to-be has doubts about her pending marriage. At a romantic island resort, she encounters a handsome kindred spirit and must now decide if her ""perfect"" fiancé is really her true love."
Surprised by Love,2015,Romance,6.3,The story of a young businesswoman who tries to convince her uptight parents to accept her current boyfriend and instead finds herself falling for an old high school flame.
All of My Heart,2015,"Romance, TV Movie",6.3,"A young caterer’s life suddenly changes course when she inherits a country home and learns she must share it with a career obsessed Wall Street trader. At first, these opposites do not attract, but feelings begin to change when they find themselves having to work side-by-side to restore their newly acquired home."
